prov_id,treat
25zz96,0
25zzz1,0
25zzz7,0
26z115,0
26z138,0
26z141,0
26z142,0
26z147,0
26z162,0
26z163,0
26z16z,0
26z177,0
26z18z,0
26z193,0
26z19z,0
26z1z4,0
26z1z8,0
26z2zz,0
26zz23,0
26zz24,0
26zz27,0
26zz2z,0
26zz32,0
26zz48,0
26zz4z,0
26zz57,0
26zz59,0
26zz62,0
26zz68,0
26zz77,0
26zz85,0
26zz95,0
26zz96,0
26zzz1,0
26zzz4,0
27zz14,1
27zz49,0
27zz74,0
27zzz4,0
28z111,0
28z119,0
28z1z5,0
28zz2z,0
28zz4z,0
28zz6z,0
28zz81,0
29zz12,0
29zz21,0
29zz22,0
29zz2z,0
29zz39,0
29zz41,0
29zzz1,0
29zzz3,0
29zzz5,0
29zzz7,0
29zzz9,0
2zz12,0
2zz17,0
2zz18,0
2zz24,0
2zz27,0
2zzz1,0
2zzz18,0
2zzz31,0
2zzz37,0
2zzz6,0
31z112,0
31z113,0
31z118,0
31z11z,0
31zz11,0
31zz16,0
31zz1z,0
31zz24,0
31zz25,0
31zz27,0
31zz41,0
31zz45,0
31zz61,0
31zz74,0
31zz75,0
31zz84,0
31zz91,0
31zz92,0
31zzz3,0
31zzz6,0
32zz11,0
32zz16,0
32zz18,0
32zz22,0
32zz38,0
32zz3z,0
32zz57,0
32zz58,0
32zz59,0
32zz61,0
32zz67,0
32zz6z,0
32zzz2,0
32zzz4,0
32zzz9,0
33z111,0
33z115,0
33z125,0
33z126,1
33z127,0
33z128,0
33z141,0
33z144,0
33z14z,0
33z151,0
33z152,0
33z158,0
33z159,0
33z166,0
33z169,0
33z16z,0
33z175,0
33z177,0
33z184,0
33z185,0
33z188,0
33z193,0
33z194,0
33z195,0
33z196,0
33z197,0
33z1z2,0
33z1z6,1
33z211,0
33z214,0
33z218,0
33z221,0
33z222,0
33z226,0
33z231,0
33z233,0
33z234,0
33z236,0
33z238,0
33z246,0
33z249,0
33z24z,0
33z261,0
33z263,0
33z265,0
33z267,0
33z273,0
33z279,0
33z286,0
33z2z1,0
33z2z2,0
33z316,0
33z353,0
33z35z,0
33z385,0
33z394,0
33z395,0
33z396,0
33z3z4,0
33z3z6,0
